0,59265171456.0,43502362624.0
1,47282728960.0,35646742528.0
2,40075231232.0,32603371520.0
3,38484910080.0,32735197184.0
4,38087237632.0,33474859008.0
5,37863669760.0,30428407808.0
6,37704343552.0,30299367424.0
7,37649387520.0,32198879232.0
8,37625778176.0,30797635584.0
9,37599248384.0,31611957248.0
10,37469609984.0,32368588800.0
11,37424410624.0,31512868864.0
12,37462978560.0,31224518656.0
13,37456576512.0,30181740544.0
14,37256769536.0,33507717120.0
15,37279621120.0,29613537280.0
16,37210132480.0,30065506304.0
17,37185273856.0,30941081600.0
18,37190885376.0,29625600000.0
19,37194117120.0,30069450752.0
20,37081214976.0,30999367680.0
21,37050462208.0,29918763008.0
22,37040640000.0,30324764672.0
23,36902993920.0,29565732864.0
24,36874088448.0,30790737920.0
